HPLC.ID,sex,treatment,ID,conc.dnp,diet,days,Astaxanthin,B-Carotene,Hydroxyechinenone,volume,mass,asta.conc,b.carot.conc,hydroxy.conc,dietary.conc,ratio.conc,resp.min.mg,resp.min
156,F,Control,Control Female,10uM,algae,3,1.24542,0.01135,0.03916,0.05,0.052,1.197519231,0.010913462,0.037653846,0.048567308,0.961024129,-22.69230769,-1.18
157,F,Control,Control Female,10uM,algae,3,1.51128,0.01398,0.07507,0.05,0.053,1.425735849,0.013188679,0.070820755,0.084009434,0.944355227,-45.47169811,-2.41
158,F,Control,Control Female,10uM,algae,3,1.57733,0.00873,0.09224,0.05,0.065,1.213330769,0.006715385,0.070953846,0.077669231,0.939837931,-23.53846154,-1.53
159,F,DNP,DNP Female,10uM,algae,3,1.2554,0.00703,0.05697,0.05,0.047,1.335531915,0.007478723,0.060606383,0.068085106,0.951493103,-91.70212766,-4.31
160,F,DNP,DNP Female,10uM,algae,3,1.12535,0.01074,0.05487,0.05,0.044,1.278806818,0.012204545,0.062352273,0.074556818,0.944909989,-77.04545455,-3.39
161,F,DNP,DNP Female,10uM,algae,3,0.95636,0.03271,0.06562,0.05,0.038,1.258368421,0.043039474,0.086342105,0.129381579,0.906768814,-77.10526316,-2.93
162,F,DNP,DNP Female,10uM,algae,3,1.22891,0.01685,0.05687,0.05,0.05,1.22891,0.01685,0.05687,0.07372,0.9434068,-33.2,-1.66
163,F,DNP,DNP Female,10uM,algae,3,0.69269,0.00606,0.01472,0.05,0.04,0.8658625,0.007575,0.0184,0.025975,0.970874739,-43.5,-1.74
179,M,DNP,DNP Male,2uM,algae,7,0.90599,0,0,0.05,0.031,1.461274194,0,0,0,1,-15.16129032,-0.47
180,M,DNP,DNP Male,2uM,algae,7,0.45833,0.00506,0.0053,0.05,0.011,2.083318182,0.023,0.024090909,0.047090909,0.977895837,-34.54545455,-0.38
181,M,DNP,DNP Male,2uM,algae,7,0.99758,0,0,0.05,0.021,2.375190476,0,0,0,1,-84.76190476,-1.78
182,M,DNP,DNP Male,2uM,algae,7,0.69839,0,0,0.05,0.021,1.662833333,0,0,0,1,-60.95238095,-1.28
183,F,DNP,DNP Female,2uM,algae,7,0.42298,0.00395,0.00272,0.05,0.023,0.919521739,0.008586957,0.005913043,0.0145,0.984475736,-53.91304348,-1.24
184,F,DNP,DNP Female,2uM,algae,7,0.7073,0,0,0.05,0.021,1.684047619,0,0,0,1,-20.47619048,-0.43
185,F,DNP,DNP Female,2uM,algae,7,0.63954,0,0,0.05,0.019,1.683,0,0,0,1,-40.52631579,-0.77
186,F,DNP,DNP Female,2uM,algae,7,0.6381,0,0,0.05,0.021,1.519285714,0,0,0,1,-10.95238095,-0.23
187,F,DNP,DNP Female,2uM,algae,7,0.76365,0,0.00342,0.05,0.024,1.5909375,0,0.007125,0.007125,0.995541476,-34.58333333,-0.83
188,F,DNP,DNP Female,2uM,algae,7,0.62513,0,0,0.05,0.022,1.42075,0,0,0,1,-30.45454545,-0.67
189,M,Control,Control Male,2uM,algae,7,0.35931,0,0,0.05,0.019,0.945552632,0,0,0,1,-37.89473684,-0.72
190,M,Control,Control Male,2uM,algae,7,0.6554,0,0.00354,0.05,0.018,1.820555556,0,0.009833333,0.009833333,0.994627736,-35.55555556,-0.64
191,M,Control,Control Male,2uM,algae,7,0.24798,0,0,0.05,0.024,0.516625,0,0,0,1,-36.25,-0.87
192,M,Control,Control Male,2uM,algae,7,0.05881,0,0,0.05,0.021,0.14002381,0,0,0,1,-63.33333333,-1.33
193,F,Control,Control Female,2uM,algae,7,0.61096,0,0,0.05,0.023,1.328173913,0,0,0,1,-67.39130435,-1.55
194,F,Control,Control Female,2uM,algae,7,0.77877,0,0,0.05,0.03,1.29795,0,0,0,1,-43.66666667,-1.31
